"","X","age","agency1","agency2","agency3","agency4","agency5","agency6","agency7","artKnowledge","attCheck","controlQ1","controlQ2","controlQ3","controlQ4","controlQ5","controlQ6","csKnowledge","education","gender","img0","img0ChangedEval","img0FirstEval","img0LastEval","img1","img1ChangedEval","img1FirstEval","img1LastEval","img2","img2ChangedEval","img2FirstEval","img2LastEval","img3","img3ChangedEval","img3FirstEval","img3LastEval","img4","img4ChangedEval","img4FirstEval","img4LastEval","img5","img5ChangedEval","img5FirstEval","img5LastEval","img6","img6ChangedEval","img6FirstEval","img6LastEval","img7","img7ChangedEval","img7FirstEval","img7LastEval","img8","img8ChangedEval","img8FirstEval","img8LastEval","img9","img9ChangedEval","img9FirstEval","img9LastEval","income","moral1","moral2","moral3","moral4","moral5","moral6","patiency1","patiency2","patiency3","patiency4","patiency5","patiency6","patiency7","politics","previousStudy","priceTreatment","prolificId","race","sessionId","studyId","times","treatment","attCheckEnd","consentEnd","demographicsEnd","introEnd","study0End","study1End","study2End","studyEnd","openEnded","condition","agency1V","agency2V","agency3V","agency4V","agency5V","agency6V","agency7V","patiency1V","patiency2V","patiency3V","patiency4V","patiency5V","patiency6V","patiency7V","moral1V","moral2V","moral3V","moral4V","moral5V","moral6V","agencyV","patiencyV","moralV","artV","img0changeEvalTmp","img0initialEvalTmp","img0finalEvalTmp","img1changeEvalTmp","img1initialEvalTmp","img1finalEvalTmp","img2changeEvalTmp","img2initialEvalTmp","img2finalEvalTmp","img3changeEvalTmp","img3initialEvalTmp","img3finalEvalTmp","img4changeEvalTmp","img4initialEvalTmp","img4finalEvalTmp","img5changeEvalTmp","img5initialEvalTmp","img5finalEvalTmp","img6changeEvalTmp","img6initialEvalTmp","img6finalEvalTmp","img7changeEvalTmp","img7initialEvalTmp","img7finalEvalTmp","img8changeEvalTmp","img8initialEvalTmp","img8finalEvalTmp","img9changeEvalTmp","img9initialEvalTmp","img9finalEvalTmp","img8changeEvalV","img8initialEvalV","img8finalEvalV","img10changeEvalV","img10initialEvalV","img10finalEvalV","img3changeEvalV","img3initialEvalV","img3finalEvalV","img4changeEvalV","img4initialEvalV","img4finalEvalV","img5changeEvalV","img5initialEvalV","img5finalEvalV","img6changeEvalV","img6initialEvalV","img6finalEvalV","img1changeEvalV","img1initialEvalV","img1finalEvalV","img9changeEvalV","img9initialEvalV","img9finalEvalV","img7changeEvalV","img7initialEvalV","img7finalEvalV","img2changeEvalV","img2initialEvalV","img2finalEvalV","initEvalV","finalEvalV","changeEvalV","control1V","control2V","control3V","control4V","control5V","control6V","control","ageV"
"32",37,2000,"Not at all","Not at all","Extremely","Moderately","Somewhat","Slightly","Moderately","No","Strongly Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","No","Some college","Male",1,"True",300,500,7,"False",300,100,9,"False",300,1000,8,"False",300,1500,5,"False",300,100,10,"False",300,200,4,"False",300,100,3,"False",300,100,6,"True",400,500,2,"False",400,600,"More than $150,000","Not at all","Not at all","Moderately","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Somewhat liberal","No","Mean","5afeea460437f000017e0c97","Caucasian","605ab82625ee456cbf2973fd","605990fadf3c32e5e48028c8","{'attCheckEnd': 243759, 'consentEnd': 3223, 'demographicsEnd': 288230, 'introEnd': 15958, 'study0End': 162879, 'study1End': 193009, 'study2End': 217828, 'studyEnd': 236380}","post",243759,3223,288230,15958,162879,193009,217828,236380,"Some parts of the images were very professional while others seemed really simplistic or lacked basic continuity of other parts of the pictures; i.e. a detailed facial portrait of a woman with only rough outlines of the portion below the neck. Also, while I don't buy art pieces and therefore don't necessarily understand the pricing of art, I didn't really see the purpose of reminding us of an ""average"" price when everyone else probably has no idea either.","Median",0,0,4,3,2,1,3,0,0,0,0,0,0,1,0,0,3,0,0,0,1.66666666666667,0,0.5,2,200,300,500,0,100,100,0,1000,1000,0,1500,1500,0,100,100,0,200,200,0,100,100,0,100,100,100,400,500,0,600,600,0,1500,1500,0,200,200,0,100,100,0,100,100,0,100,100,100,400,500,200,300,500,0,1000,1000,0,100,100,0,600,600,440,470,30,2,1,1,1,0,3,1.33333333333333,21
"33",38,1955,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","No","Strongly Disagree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","No","High school or lower","Male",2,"True",300,1500,6,"False",300,1000,10,"False",300,1200,1,"False",300,1100,7,"False",300,1200,5,"False",300,1900,3,"False",300,1200,8,"False",300,1700,4,"False",300,1200,9,"False",300,1000,"Less than $20,000","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","Mean","5b3e57b3c2e381000175e656","Caucasian","605ab8678551590ee90b4ff8","605990fadf3c32e5e48028c8","{'attCheckEnd': 190224, 'consentEnd': 2993, 'demographicsEnd': 266547, 'introEnd': 14157, 'study0End': 119801, 'study1End': 135945, 'study2End': 146829, 'studyEnd': 182950}","post",190224,2993,266547,14157,119801,135945,146829,182950,"","Median",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,300,1500,0,1000,1000,0,1200,1200,0,1100,1100,0,1200,1200,0,1900,1900,0,1200,1200,0,1700,1700,0,1200,1200,0,1000,1000,0,1700,1700,0,1200,1200,0,1200,1200,0,1200,1200,0,1900,1900,0,1000,1000,0,1100,1100,0,1000,1000,0,1200,1200,1200,300,1500,1180,1300,120,3,2,3,4,3,3,3,66
"34",39,1995,"Moderately","Moderately","Moderately","Moderately","Somewhat","Extremely","Somewhat","No","Strongly Agree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","No","High school or lower","Male",6,"False",-1,3700,10,"False",-1,1100,3,"False",-1,700,9,"False",-1,2100,5,"False",-1,3400,8,"False",-1,1800,1,"False",-1,1900,2,"False",-1,1200,7,"False",-1,1300,4,"False",-1,1100,"$80,000-$99,999","Somewhat","Slightly","Somewhat","Somewhat","Slightly","Somewhat","Not at all","Slightly","Slightly","Slightly","Slightly","Slightly","Somewhat","Somewhat liberal","No","Mean","5b5d13d25256470001bc5ef2","Caucasian","605ab799153f5dd4b118c353","605990fadf3c32e5e48028c8","{'attCheckEnd': 166740, 'consentEnd': 11142, 'demographicsEnd': 213566, 'introEnd': 34052, 'study0End': 55990, 'study1End': 70000, 'study2End': 80982, 'studyEnd': 156901}","pre",166740,11142,213566,34052,55990,70000,80982,156901,"","Pre",3,3,3,3,2,4,2,0,1,1,1,1,1,2,2,1,2,2,1,2,3,0.833333333333333,1.66666666666667,2,0,3700,3700,0,1100,1100,0,700,700,0,2100,2100,0,3400,3400,0,1800,1800,0,1900,1900,0,1200,1200,0,1300,1300,0,1100,1100,0,1800,1800,0,1100,1100,0,700,700,0,1100,1100,0,3400,3400,0,3700,3700,0,1900,1900,0,2100,2100,0,1300,1300,0,1200,1200,1830,1830,0,1,2,1,1,0,1,1,26
"35",42,1994,"Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Moderately","No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Yes","Bachelor's degree or lower","Male",1,"False",-1,100,6,"False",-1,100,10,"False",-1,0,3,"False",-1,200,8,"False",-1,400,5,"False",-1,100,4,"False",-1,100,2,"False",-1,200,7,"False",-1,0,9,"False",-1,300,"Prefer not to respond","Not at all","Not at all","Slightly","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Liberal","No","Max","5ba6f4fb8e137f000161b9d7","Caucasian","6059b8675d32901a051a6370","605990fadf3c32e5e48028c8","{'attCheckEnd': 197744, 'consentEnd': 6951, 'demographicsEnd': 259949, 'introEnd': 26290, 'study0End': 137033, 'study1End': 153471, 'study2End': 175058, 'studyEnd': 188261}","post",197744,6951,259949,26290,137033,153471,175058,188261,"","Max",1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0.166666666666667,0,0.333333333333333,1.5,0,100,100,0,100,100,0,0,0,0,200,200,0,400,400,0,100,100,0,100,100,0,200,200,0,0,0,0,300,300,0,400,400,0,0,0,0,200,200,0,100,100,0,100,100,0,100,100,0,100,100,0,300,300,0,0,0,0,200,200,150,150,0,0,0,0,0,0,0,0,27
"36",43,1995,"Slightly","Slightly","Not at all","Slightly","Not at all","Not at all","Slightly","No","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","No","Bachelor's degree or lower","Female",3,"True",5700,600,7,"False",5700,800,5,"False",5700,200,1,"False",5700,1000,4,"False",5700,300,10,"False",5700,800,2,"False",5700,600,9,"False",5700,1100,6,"False",5700,300,8,"False",5700,500,"$40,000-$59,999","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Not at all","Slightly","Slightly","Slightly","Slightly","Slightly","Somewhat","Liberal","No","Min","5badcd276322c5000157c196","Caucasian","605a97ad4cfdd03fdb7db142","605990fadf3c32e5e48028c8","{'attCheckEnd': 129141, 'consentEnd': 3194, 'demographicsEnd': 169783, 'introEnd': 17687, 'study0End': 80541, 'study1End': 91597, 'study2End': 104128, 'studyEnd': 123929}","post",129141,3194,169783,17687,80541,91597,104128,123929,"","Min",1,1,0,1,0,0,1,0,1,1,1,1,1,2,2,2,2,2,2,2,0.5,0.833333333333333,2,1.5,-5100,5700,600,0,800,800,0,200,200,0,1000,1000,0,300,300,0,800,800,0,600,600,0,1100,1100,0,300,300,0,500,500,0,500,500,0,800,800,-5100,5700,600,0,300,300,0,200,200,0,300,300,0,1000,1000,0,1100,1100,0,800,800,0,600,600,1130,620,-510,2,2,2,2,2,2,2,26
"37",45,1959,"Slightly","Slightly","Moderately","Moderately","Slightly","Moderately","Extremely","No","Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","No","High school or lower","Female",2,"True",400,3700,9,"True",5400,5000,4,"False",5400,2500,5,"True",4200,4500,3,"False",4200,2300,6,"False",4200,4500,8,"False",4200,4900,1,"True",4600,3600,7,"True",2100,4800,10,"False",2100,6300,"$40,000-$59,999","Not at all","Not at all","Slightly","Moderately","Slightly","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderately","Somewhat conservative","No","Max","5be769f53b047e0001a39b01","Caucasian","6059aadc5faae571b41e31ce","605990fadf3c32e5e48028c8","{'attCheckEnd': 495085, 'consentEnd': 25442, 'demographicsEnd': 553775, 'introEnd': 77058, 'study0End': 331643, 'study1End': 392772, 'study2End': 413532, 'studyEnd': 477943}","post",495085,25442,553775,77058,331643,392772,413532,477943,"I can appreciate the artwork on the images but I wouldn't be interested in purchasing and displaying the paintings as the topics didn't appeal to me.  I would like to see a nature painting created by an AI program.","Max",1,1,3,3,1,3,4,0,0,0,0,0,0,3,0,0,1,3,1,1,2,0,1,3.5,3300,400,3700,-400,5400,5000,0,2500,2500,300,4200,4500,0,2300,2300,0,4500,4500,0,4900,4900,-1000,4600,3600,2700,2100,4800,0,6300,6300,0,4900,4900,0,6300,6300,0,2300,2300,0,2500,2500,300,4200,4500,0,4500,4500,-1000,4600,3600,-400,5400,5000,2700,2100,4800,3300,400,3700,3720,4210,490,1,2,1,1,1,0,1,62
"38",46,1983,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Disagree","Somewhat Agree","No","Graduate degree","Female",5,"False",-1,100,1,"False",-1,100,4,"False",-1,100,10,"False",-1,100,6,"False",-1,100,9,"False",-1,200,8,"False",-1,100,7,"False",-1,0,3,"False",-1,0,2,"False",-1,0,"$100,000-$150,000","Not at all","Not at all","Slightly","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderate","No","Max","5bf5f40635087500014257fe","Caucasian","605ab7d027e44404bdee49f7","605990fadf3c32e5e48028c8","{'attCheckEnd': 227494, 'consentEnd': 14038, 'demographicsEnd': 287590, 'introEnd': 60241, 'study0End': 154992, 'study1End': 177213, 'study2End': 196466, 'studyEnd': 209959}","post",227494,14038,287590,60241,154992,177213,196466,209959,"it was scary think that a computer could generate such images of people ","Max",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.333333333333333,0.5,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,200,200,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,100,100,0,0,0,0,100,100,0,100,100,0,100,100,0,100,100,0,200,200,0,0,0,0,0,0,80,80,0,0,0,1,4,1,3,1.5,38
"39",47,1955,"Slightly","Slightly","Slightly","Somewhat","Not at all","Slightly","Not at all","Yes","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Strongly Disagree","Somewhat Disagree","No","Bachelor's degree or lower","Male",5,"False",-1,500,9,"False",-1,600,8,"False",-1,1600,2,"False",-1,500,1,"False",-1,2500,4,"False",-1,3400,10,"False",-1,1400,3,"False",-1,1500,6,"False",-1,2200,7,"False",-1,500,"$80,000-$99,999","Slightly","Not at all","Slightly","Somewhat","Slightly","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Somewhat liberal","No","Mean","5bf9bd81549c180001dab194","Caucasian","605ab85fcfa2e82a601254bf","605990fadf3c32e5e48028c8","{'attCheckEnd': 204363, 'consentEnd': 8995, 'demographicsEnd': 255302, 'introEnd': 28870, 'study0End': 140226, 'study1End': 159717, 'study2End': 176164, 'studyEnd': 189504}","post",204363,8995,255302,28870,140226,159717,176164,189504,"That is remarkable if true.","Median",1,1,1,2,0,1,0,0,0,0,0,0,0,1,1,0,1,2,1,1,1,0,1,0.5,0,500,500,0,600,600,0,1600,1600,0,500,500,0,2500,2500,0,3400,3400,0,1400,1400,0,1500,1500,0,2200,2200,0,500,500,0,1600,1600,0,1400,1400,0,1500,1500,0,3400,3400,0,500,500,0,2200,2200,0,2500,2500,0,600,600,0,500,500,0,500,500,1470,1470,0,0,1,1,2,0,1,0.833333333333333,66
"40",48,1986,"Somewhat","Not at all","Somewhat","Somewhat","Somewhat","Not at all","Somewhat","No","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","No","Bachelor's degree or lower","Male",9,"False",-1,500,1,"False",-1,1000,3,"False",-1,500,7,"False",-1,100,6,"False",-1,200,4,"False",-1,100,5,"False",-1,300,2,"False",-1,400,8,"False",-1,600,10,"False",-1,100,"Less than $20,000","Not at all","Not at all","Somewhat","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","Max","5c297e03da51990001e341d1","Asian","605ab85037bd902742056a55","605990fadf3c32e5e48028c8","{'attCheckEnd': 219972, 'consentEnd': 16457, 'demographicsEnd': 255843, 'introEnd': 38368, 'study0End': 152528, 'study1End': 175975, 'study2End': 189326, 'studyEnd': 207437}","post",219972,16457,255843,38368,152528,175975,189326,207437,"","Max",2,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1.33333333333333,0,0.333333333333333,1,0,500,500,0,1000,1000,0,500,500,0,100,100,0,200,200,0,100,100,0,300,300,0,400,400,0,600,600,0,100,100,0,600,600,0,100,100,0,500,500,0,100,100,0,300,300,0,200,200,0,1000,1000,0,500,500,0,100,100,0,400,400,380,380,0,1,1,1,1,1,1,1,35
"41",49,1995,"Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","No","Strongly Disagree","Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","No","Bachelor's degree or lower","Female",3,"False",-1,1000,6,"False",-1,4100,9,"False",-1,1800,2,"False",-1,1900,8,"False",-1,1200,10,"False",-1,3100,4,"False",-1,3200,7,"False",-1,2900,1,"False",-1,1900,5,"False",-1,3700,"$20,000-$39,999","Not at all","Not at all","Not at all","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","Min","5c2b4b959f18a9000179a141","Asian","605ab75524997109c5ca8af7","605990fadf3c32e5e48028c8","{'attCheckEnd': 129435, 'consentEnd': 2328, 'demographicsEnd': 160470, 'introEnd': 14227, 'study0End': 82648, 'study1End': 95662, 'study2End': 107421, 'studyEnd': 125036}","post",129435,2328,160470,14227,82648,95662,107421,125036,"art is art","Min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.166666666666667,0,0,1000,1000,0,4100,4100,0,1800,1800,0,1900,1900,0,1200,1200,0,3100,3100,0,3200,3200,0,2900,2900,0,1900,1900,0,3700,3700,0,1200,1200,0,3100,3100,0,1000,1000,0,3200,3200,0,3700,3700,0,4100,4100,0,1900,1900,0,1800,1800,0,2900,2900,0,1900,1900,2480,2480,0,2,1,2,3,3,2,2.16666666666667,26
"42",50,1998,"Slightly","Slightly","Slightly","Somewhat","Slightly","Slightly","Moderately","No","Strongly Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","No","High school or lower","Female",1,"True",100,700,4,"False",100,500,7,"False",100,800,5,"False",100,1200,9,"False",100,1300,2,"False",100,1100,10,"False",100,1700,6,"False",100,1700,8,"False",100,800,3,"False",100,800,"$60,000-$79,999","Not at all","Not at all","Moderately","Moderately","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","Liberal","No","Mean","5c31783f2c45d400014b2bfb","Caucasian","605a9779da27688a98264dc6","605990fadf3c32e5e48028c8","{'attCheckEnd': 185138, 'consentEnd': 14782, 'demographicsEnd': 420851, 'introEnd': 29727, 'study0End': 122025, 'study1End': 141316, 'study2End': 156703, 'studyEnd': 174744}","post",185138,14782,420851,29727,122025,141316,156703,174744,"From very far away, the images might have been professional looking and nice, but close up they had noticeable flaws and looked like a bunch of pixels put together, sometimes messily. Without these pixel defects, they looked like artwork you would actually find in a museum, but I could still tell they were created by an AI program. Thank you :)","Median",1,1,1,2,1,1,3,0,0,0,0,0,0,2,0,0,3,3,1,0,1.16666666666667,0,1.16666666666667,2.5,600,100,700,0,500,500,0,800,800,0,1200,1200,0,1300,1300,0,1100,1100,0,1700,1700,0,1700,1700,0,800,800,0,800,800,0,800,800,0,1700,1700,0,800,800,0,500,500,0,1200,1200,0,1700,1700,600,100,700,0,1300,1300,0,800,800,0,1100,1100,1000,1060,60,2,1,3,3,1,3,2.16666666666667,23
"43",53,1992,"Somewhat","Not at all","Not at all","Somewhat","Not at all","Not at all","Extremely","No","Strongly Disagree","Strongly Disagree","Strongly Agree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","No","Some college","Female",1,"False",-1,2200,8,"False",-1,1700,9,"False",-1,700,7,"False",-1,500,3,"False",-1,1900,10,"False",-1,5900,5,"False",-1,500,2,"False",-1,400,4,"False",-1,400,6,"False",-1,1600,"Less than $20,000","Not at all","Not at all","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderate","No","Min","5c58e01e6f4ec5000164c35a","Caucasian","605a97e48d2d8ee1e6c9bc24","605990fadf3c32e5e48028c8","{'attCheckEnd': 188971, 'consentEnd': 2739, 'demographicsEnd': 226051, 'introEnd': 16157, 'study0End': 134690, 'study1End': 154405, 'study2End': 166647, 'studyEnd': 181389}","post",188971,2739,226051,16157,134690,154405,166647,181389,"I thought some of them were great.","Min",2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,0,0.166666666666667,2,0,2200,2200,0,1700,1700,0,700,700,0,500,500,0,1900,1900,0,5900,5900,0,500,500,0,400,400,0,400,400,0,1600,1600,0,1700,1700,0,5900,5900,0,1900,1900,0,400,400,0,500,500,0,1600,1600,0,2200,2200,0,700,700,0,500,500,0,400,400,1580,1580,0,0,4,2,0,0,0,1,29
"44",54,1956,"Somewhat","Not at all","Slightly","Not at all","Slightly","Not at all","Not at all","No","Strongly Agree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Neither Agree nor Disagree","No","Some college","Male",2,"False",-1,400,4,"False",-1,3500,7,"False",-1,400,10,"False",-1,1400,3,"False",-1,4000,1,"False",-1,8100,6,"False",-1,6500,8,"False",-1,8100,5,"False",-1,6800,9,"False",-1,7200,"$20,000-$39,999","Somewhat","Not at all","Somewhat","Not at all","Moderately","Moderately","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","Mean","5c5f2c15c138f60001e39361","Caucasian","6059bbee3ae65a6757373d9a","605990fadf3c32e5e48028c8","{'attCheckEnd': 231141, 'consentEnd': 11893, 'demographicsEnd': 288382, 'introEnd': 37612, 'study0End': 60601, 'study1End': 76072, 'study2End': 113726, 'studyEnd': 220208}","pre",231141,11893,288382,37612,60601,76072,113726,220208,"very interesting, my question is what were they told to produce? If, for example in the boat picture, it was told to produce a painting of a car well t wasn't so good was it? Now if it was asked to produce a Renaissance era painting it would be pretty close","Pre",2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,3,3,0.666666666666667,0,1.66666666666667,0,0,400,400,0,3500,3500,0,400,400,0,1400,1400,0,4000,4000,0,8100,8100,0,6500,6500,0,8100,8100,0,6800,6800,0,7200,7200,0,8100,8100,0,1400,1400,0,4000,4000,0,3500,3500,0,6800,6800,0,6500,6500,0,8100,8100,0,7200,7200,0,400,400,0,400,400,4640,4640,0,2,0,0,4,0,2,1.33333333333333,65
"45",55,1978,"Not at all","Not at all","Slightly","Not at all","Not at all","Not at all","Moderately","No","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","No","Some college","Male",9,"False",-1,2000,8,"False",-1,500,7,"False",-1,100,3,"False",-1,300,2,"False",-1,100,5,"False",-1,900,6,"False",-1,200,1,"False",-1,900,10,"False",-1,0,4,"False",-1,800,"$20,000-$39,999","Not at all","Not at all","Somewhat","Not at all","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","Min","5c64561ab84cf50001b59f09","Caucasian","6059bcb8433b18de0c351d59","605990fadf3c32e5e48028c8","{'attCheckEnd': 267997, 'consentEnd': 19098, 'demographicsEnd': 309639, 'introEnd': 34310, 'study0End': 210249, 'study1End': 229699, 'study2End': 242696, 'studyEnd': 258768}","post",267997,19098,309639,34310,210249,229699,242696,258768,"I only wish I would have been given examples beforehand so that I could see the kind of paintings we'd be judging.  I feel I couldn't use the whole scale as accurately as I would have liked.  Thank you, and please stay safe.","Min",0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0.166666666666667,0,0.5,1.5,0,2000,2000,0,500,500,0,100,100,0,300,300,0,100,100,0,900,900,0,200,200,0,900,900,0,0,0,0,800,800,0,500,500,0,0,0,0,300,300,0,800,800,0,900,900,0,200,200,0,900,900,0,2000,2000,0,100,100,0,100,100,580,580,0,1,0,1,1,0,3,1,43
"46",56,1997,"Extremely","Extremely","Moderately","Extremely","Moderately","Moderately","Extremely","No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","No","High school or lower","Non-binary",2,"True",800,1300,6,"True",2800,2500,4,"False",2800,1000,5,"False",2800,1100,3,"True",1500,1900,1,"False",1500,3000,8,"False",1500,2500,7,"False",1500,600,9,"False",1500,3000,10,"False",1500,1500,"$20,000-$39,999","Slightly","Somewhat","Extremely","Moderately","Extremely","Somewhat","Slightly","Moderately","Not at all","Slightly","Slightly","Not at all","Extremely","Liberal","No","Mean","5c68acae8a12bb00013dbff4","Caucasian","6059bd54c2a9f41c4b51d350","605990fadf3c32e5e48028c8","{'attCheckEnd': 512591, 'consentEnd': 20201, 'demographicsEnd': 562076, 'introEnd': 40915, 'study0End': 397850, 'study1End': 447889, 'study2End': 476699, 'studyEnd': 500790}","post",512591,20201,562076,40915,397850,447889,476699,500790,"I was impressed by a lot of the images, especially the ones containing scenery.","Median",4,4,3,4,3,3,4,1,3,0,1,1,0,4,1,2,4,3,4,2,3.5,1,2.66666666666667,4,500,800,1300,-300,2800,2500,0,1000,1000,0,1100,1100,400,1500,1900,0,3000,3000,0,2500,2500,0,600,600,0,3000,3000,0,1500,1500,0,2500,2500,0,1500,1500,400,1500,1900,0,1000,1000,0,1100,1100,-300,2800,2500,0,3000,3000,0,3000,3000,0,600,600,500,800,1300,1780,1840,60,0,0,1,0,1,0,0.333333333333333,24
"47",59,1988,"Slightly","Slightly","Somewhat","Moderately","Slightly","Slightly","Moderately","No","Strongly Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","No","Bachelor's degree or lower","Female",5,"False",-1,3500,6,"False",-1,4000,2,"False",-1,4200,1,"False",-1,4500,4,"False",-1,1000,10,"False",-1,1200,9,"False",-1,2000,7,"False",-1,1500,3,"False",-1,2100,8,"False",-1,1800,"$20,000-$39,999","Not at all","Not at all","Moderately","Somewhat","Somewhat","Not at all","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Somewhat liberal","No","Mean","5c74e7e9c3fe130001e86cc8","Caucasian","605ab7cd953bbedeb25fd008","605990fadf3c32e5e48028c8","{'attCheckEnd': 352482, 'consentEnd': 14245, 'demographicsEnd': 417935, 'introEnd': 50714, 'study0End': 97419, 'study1End': 128967, 'study2End': 158577, 'studyEnd': 337424}","pre",352482,14245,417935,50714,97419,128967,158577,337424,"I think that the images resembled actual works of art, and were well-done. ","Pre",1,1,2,3,1,1,3,1,0,0,0,0,0,1,0,0,3,2,2,0,1.5,0.166666666666667,1.16666666666667,2,0,3500,3500,0,4000,4000,0,4200,4200,0,4500,4500,0,1000,1000,0,1200,1200,0,2000,2000,0,1500,1500,0,2100,2100,0,1800,1800,0,1800,1800,0,1200,1200,0,2100,2100,0,1000,1000,0,3500,3500,0,4000,4000,0,4500,4500,0,2000,2000,0,1500,1500,0,4200,4200,2580,2580,0,3,0,3,1,1,3,1.83333333333333,33
