"","X","age","agency1","agency2","agency3","agency4","agency5","agency6","agency7","artKnowledge","attCheck","controlQ1","controlQ2","controlQ3","controlQ4","controlQ5","controlQ6","csKnowledge","education","gender","img0","img0Eval","img1","img1Eval","img2","img2Eval","img3","img3Eval","img4","img4Eval","img5","img5Eval","img6","img6Eval","img7","img7Eval","img8","img8Eval","img9","img9Eval","income","patiency1","patiency2","patiency3","patiency4","patiency5","patiency6","patiency7","politics","previousStudy","prolificId","race","sessionId","studyId","times","treatment","attCheckEnd","consentEnd","demographicsEnd","introEnd","study0End","studyEnd","openEnded","agency1V","agency2V","agency3V","agency4V","agency5V","agency6V","agency7V","agencyV","patiency1V","patiency2V","patiency3V","patiency4V","patiency5V","patiency6V","patiency7V","patiencyV","img10EvalV","img1EvalV","img7EvalV","img5EvalV","img8EvalV","img6EvalV","img9EvalV","img2EvalV","img3EvalV","img4EvalV","evalV","control1V","control2V","control3V","control4V","control5V","control6V","control","ageV"
"11",11,1988,"Somewhat","Not at all","Extremely","Moderately","Not at all","Not at all","Moderately",0,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree",0,"Graduate degree","Female",6,300,7,300,4,400,3,200,2,100,8,200,5,400,1,300,9,300,10,400,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","5a5479b4ac56240001537ffa","African American","6050302850f1283c57d83f1d","605012aa337705b7329e7998","{'attCheckEnd': 180434, 'consentEnd': 40786, 'demographicsEnd': 228306, 'introEnd': 51873, 'study0End': 139474, 'studyEnd': 170186}","post",180434,40786,228306,51873,139474,170186,"Some of them were quite appealing ",2,0,4,3,0,0,3,1.5,0,0,0,0,0,0,0,0,400,300,300,400,200,300,300,100,200,400,290,1,1,1,3,1,1,1.33333333333333,33
"12",12,1997,"Slightly","Slightly","Not at all","Slightly","Not at all","Not at all","Moderately",0,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",0,"Some college","Female",5,1000,2,1100,4,900,3,2000,6,1500,10,1400,7,1300,1,2500,8,2100,9,2500,"$20,000-$39,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderate","No","5a78f57a2a842c0001fc43db","Caucasian","605030f8ec8894339ce9259f","605012aa337705b7329e7998","{'attCheckEnd': 302822, 'consentEnd': 99063, 'demographicsEnd': 358667, 'introEnd': 140228, 'study0End': 237956, 'studyEnd': 288791}","post",302822,99063,358667,140228,237956,288791,"I was actually really surprised at the fact that I somewhat felt some emotion while looking at the images. I was also surprised at how well it seemed that the AI program utilized elements that translated so well and were so...recognizable, if that makes sense? The small flaws in them here and there were also fascinating. I'm impressed.",1,1,0,1,0,0,3,0.5,0,0,0,0,0,0,0,0,1400,2500,1300,1000,2100,1500,2500,1100,2000,900,1630,0,0,1,1,1,1,0.666666666666667,24
"13",13,1988,"Moderately","Extremely","Moderately","Moderately","Moderately","Somewhat","Extremely",0,"Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree",0,"Bachelor's degree or lower","Male",5,2200,8,2700,1,6400,2,3400,10,4800,6,3800,9,4900,4,1900,3,1700,7,3100,"$40,000-$59,999","Slightly","Somewhat","Not at all","Somewhat","Somewhat","Not at all","Moderately","Conservative","No","5a876665ae9a0b0001a9fbe3","Caucasian","60502e42d84d74e9d439f973","605012aa337705b7329e7998","{'attCheckEnd': 215868, 'consentEnd': 47352, 'demographicsEnd': 250201, 'introEnd': 60802, 'study0End': 85235, 'studyEnd': 208600}","pre",215868,47352,250201,60802,85235,208600,"I thought many of them were strikingly beautiful,, and they managed to convey emotions despite being created by a machine. I don't really think they were any less effective for it.",3,4,3,3,3,2,4,3,1,2,0,2,2,0,3,1.16666666666667,4800,6400,3100,2200,2700,3800,4900,3400,1700,1900,3490,0,0,1,1,0,1,0.5,33
"14",14,1993,"Not at all","Slightly","Not at all","Slightly","Not at all","Not at all","Moderately",0,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree",0,"Graduate degree","Female",1,8000,4,10000,9,5900,10,4200,6,6800,8,6100,2,1900,7,2800,5,6000,3,7800,"Less than $20,000","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","5a983a931ade740001b8ea50","Caucasian","605016e6793ebe67cb01023c","605012aa337705b7329e7998","{'attCheckEnd': 140545, 'consentEnd': 11588, 'demographicsEnd': 185572, 'introEnd': 21796, 'study0End': 98253, 'studyEnd': 125820}","post",140545,11588,185572,21796,98253,125820,"Very pretty - they looked like they belonged in a museum.",0,1,0,1,0,0,3,0.333333333333333,0,0,0,0,0,0,0,0,4200,8000,2800,6000,6100,6800,5900,1900,7800,10000,5950,1,1,1,2,1,1,1.16666666666667,28
"15",15,1984,"Extremely","Extremely","Extremely","Extremely","Slightly","Extremely","Extremely",0,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree",0,"Bachelor's degree or lower","Female",6,600,9,800,2,2200,5,500,1,2800,8,1100,4,700,7,400,10,300,3,0,"$80,000-$99,999","Slightly","Slightly","Not at all","Slightly","Slightly","Not at all","Moderately","Moderate","No","5aa806e7777df200016088c5","Prefer not to respond","605040c72d100b1f709b5ecc","605012aa337705b7329e7998","{'attCheckEnd': 525181, 'consentEnd': 51348, 'demographicsEnd': 593468, 'introEnd': 186867, 'study0End': 226581, 'studyEnd': 517613}","pre",525181,51348,593468,186867,226581,517613,"",4,4,4,4,1,4,4,3.5,1,1,0,1,1,0,3,0.666666666666667,300,2800,400,500,1100,600,800,2200,0,700,940,0,0,0,1,0,0,0.166666666666667,37
"16",16,1953,"Moderately","Somewhat","Slightly","Moderately","Somewhat","Somewhat","Extremely",1,"Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree",1,"Bachelor's degree or lower","Female",10,5900,4,3400,8,4900,2,3600,5,5700,6,4000,7,1300,9,6200,3,4000,1,5000,"$80,000-$99,999","Slightly","Moderately","Slightly","Moderately","Somewhat","Moderately","Somewhat","Conservative","No","5aa8b1d64eecca0001de0e3a","Hispanic","60502fce360be3b308b152fe","605012aa337705b7329e7998","{'attCheckEnd': 950302, 'consentEnd': 544640, 'demographicsEnd': 997987, 'introEnd': 558389, 'study0End': 723161, 'studyEnd': 942105}","pre",950302,544640,997987,558389,723161,942105,"",3,2,1,3,2,2,4,2.16666666666667,1,3,1,3,2,3,2,2.16666666666667,5900,5000,1300,5700,4900,4000,6200,3600,4000,3400,4400,1,0,0,1,4,3,1.5,68
"17",17,1989,"Somewhat","Somewhat","Somewhat","Somewhat","Slightly","Somewhat","Moderately",0,"Strongly Agree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree",0,"Some college","Female",5,5000,1,900,3,2100,4,6700,8,4000,9,6300,7,3600,6,7200,10,5200,2,2800,"Less than $20,000","Not at all","Slightly","Slightly","Not at all","Not at all","Not at all","Somewhat","Liberal","No","5aafe1c4811b2000016f8d82","Caucasian","60503287bf249d2049560d57","605012aa337705b7329e7998","{'attCheckEnd': 872630, 'consentEnd': 8469, 'demographicsEnd': 923392, 'introEnd': 729212, 'study0End': 777520, 'studyEnd': 862617}","pre",872630,8469,923392,729212,777520,862617,"",2,2,2,2,1,2,3,1.83333333333333,0,1,1,0,0,0,2,0.333333333333333,5200,900,3600,5000,4000,7200,6300,2800,2100,6700,4380,1,0,1,1,1,1,0.833333333333333,32
"18",18,1998,"Slightly","Somewhat","Somewhat","Moderately","Slightly","Somewhat","Moderately",0,"Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree",0,"Some college","Female",10,400,3,200,9,2500,8,100,1,2000,4,200,7,200,5,200,6,300,2,400,"$20,000-$39,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Liberal","No","5ab458a9f69e940001d8d065","Caucasian","605031e34ed19075ed081f98","605012aa337705b7329e7998","{'attCheckEnd': 505957, 'consentEnd': 2241, 'demographicsEnd': 562332, 'introEnd': 19108, 'study0End': 318642, 'studyEnd': 362876}","post",505957,2241,562332,19108,318642,362876,"some may have seemed like cheap prints from target, yet others conjured feelings similar to human made art",1,2,2,3,1,2,3,1.83333333333333,0,0,0,0,0,0,1,0,400,2000,200,200,100,300,2500,400,200,200,650,1,1,2,1,1,0,1,23
"19",19,1997,"Slightly","Not at all","Slightly","Slightly","Slightly","Slightly","Slightly",1,"Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree",0,"Some college","Female",5,1900,9,800,2,2600,8,4900,10,500,1,5500,7,1000,4,0,3,0,6,2300,"$60,000-$79,999","Not at all","Not at all","Not at all","Slightly","Not at all","Not at all","Slightly","Liberal","No","5ac670c95cd1050001624545","Caucasian","605032b86d03a3b6da576a84","605012aa337705b7329e7998","{'attCheckEnd': 91701, 'consentEnd': 7276, 'demographicsEnd': 127612, 'introEnd': 18842, 'study0End': 64166, 'studyEnd': 85837}","post",91701,7276,127612,18842,64166,85837,"",1,0,1,1,1,1,1,0.833333333333333,0,0,0,1,0,0,1,0.166666666666667,500,5500,1000,1900,4900,2300,800,2600,0,0,1950,1,0,1,1,1,0,0.666666666666667,24
"20",20,1983,"Extremely","Somewhat","Not at all","Somewhat","Moderately","Somewhat","Slightly",0,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree",0,"High school or lower","Male",1,2000,3,200,7,0,10,1000,8,1300,5,400,4,0,2,100,9,0,6,100,"Less than $20,000","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","5aea962d0ef2f20001858c9c","Caucasian","60502f384942fc5e999ad1bc","605012aa337705b7329e7998","{'attCheckEnd': 253744, 'consentEnd': 33288, 'demographicsEnd': 299499, 'introEnd': 51871, 'study0End': 207805, 'studyEnd': 240583}","post",253744,33288,299499,51871,207805,240583,"Some of them were interesting; the ones of scenery had strange looking patterns. The pictures of people had a sort of 'uncanny valley' feeling to them since there were a lot of details that were off. ",4,2,0,2,3,2,1,2.16666666666667,0,0,0,0,0,0,0,0,1000,2000,0,400,1300,100,0,100,200,0,510,0,0,0,0,0,0,0,38
"21",21,1967,"Somewhat","Slightly","Somewhat","Extremely","Slightly","Somewhat","Extremely",0,"Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree",0,"Some college","Female",8,100,4,100,3,100,6,100,7,100,9,100,5,100,10,100,2,100,1,100,"Less than $20,000","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Slightly","Somewhat conservative","No","5afcbbb559ae1e00017e4ccf","Caucasian","60501a9429c78963efeb76bf","605012aa337705b7329e7998","{'attCheckEnd': 177745, 'consentEnd': 3321, 'demographicsEnd': 242289, 'introEnd': 34672, 'study0End': 84193, 'studyEnd': 162193}","pre",177745,3321,242289,34672,84193,162193,"Very nice art.",2,1,2,4,1,2,4,2,0,0,0,0,0,0,1,0,100,100,100,100,100,100,100,100,100,100,100,2,2,3,3,3,4,2.83333333333333,54
"22",23,1999,"Moderately","Somewhat","Somewhat","Somewhat","Slightly","Moderately","Somewhat",0,"Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree",0,"Bachelor's degree or lower","Female",9,1500,5,2600,6,2000,2,1400,4,1300,7,900,1,2500,3,1500,8,1400,10,2900,"$100,000-$150,000","Not at all","Slightly","Slightly","Slightly","Slightly","Not at all","Somewhat","Liberal","No","5b5675b22a4d0c0001aebe88","Asian","60502ca4b42c2d538fbea7be","605012aa337705b7329e7998","{'attCheckEnd': 144298, 'consentEnd': 14347, 'demographicsEnd': 181087, 'introEnd': 26599, 'study0End': 106819, 'studyEnd': 136815}","post",144298,14347,181087,26599,106819,136815,"",3,2,2,2,1,3,2,2.16666666666667,0,1,1,1,1,0,2,0.666666666666667,2900,2500,900,2600,1400,2000,1500,1400,1500,1300,1800,1,3,3,0,0,1,1.33333333333333,22
"23",24,1975,"Moderately","Somewhat","Somewhat","Moderately","Slightly","Somewhat","Somewhat",0,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree",0,"Bachelor's degree or lower","Male",2,400,1,600,9,500,3,600,6,400,10,100,7,700,4,200,5,200,8,700,"$100,000-$150,000","Not at all","Not at all","Not at all","Slightly","Not at all","Not at all","Somewhat","Moderate","No","5b9b3977cc5dd0000165ff0b","African American","605041ead27ae7d5e08946b4","605012aa337705b7329e7998","{'attCheckEnd': 344364, 'consentEnd': 90380, 'demographicsEnd': 432784, 'introEnd': 114697, 'study0End': 189455, 'studyEnd': 316779}","pre",344364,90380,432784,114697,189455,316779,"Really nice images. Impressive.",3,2,2,3,1,2,2,2.16666666666667,0,0,0,1,0,0,2,0.166666666666667,100,600,700,200,700,400,500,400,600,200,440,0,0,0,1,0,0,0.166666666666667,46
"24",25,1971,"Moderately","Not at all","Moderately","Extremely","Somewhat","Slightly","Somewhat",0,"Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree",0,"High school or lower","Female",7,4200,6,7900,5,9000,3,9700,4,7900,10,5600,8,7100,2,8900,1,3800,9,3600,"$20,000-$39,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat liberal","No","5bf51921bf41e0000144c4a1","Caucasian","605031621fd68e47a0251a5b","605012aa337705b7329e7998","{'attCheckEnd': 146400, 'consentEnd': 14197, 'demographicsEnd': 211097, 'introEnd': 45234, 'study0End': 85691, 'studyEnd': 134190}","pre",146400,14197,211097,45234,85691,134190,"I thought most of them were very lovely, a couple plain. ",3,0,3,4,2,1,2,2.16666666666667,0,0,0,0,0,0,0,0,5600,3800,4200,9000,7100,7900,3600,8900,9700,7900,6770,0,1,0,2,0,0,0.5,50
"25",26,1968,"Extremely","Not at all","Slightly","Moderately","Not at all","Not at all","Moderately",0,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree",0,"Bachelor's degree or lower","Male",6,2900,9,2100,10,1000,4,900,2,2300,7,2300,8,3500,1,7800,5,1900,3,1200,"$60,000-$79,999","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Moderate","No","5bf86a676af57800010cc71c","Caucasian","60502d8af1a97dbce4e90f1d","605012aa337705b7329e7998","{'attCheckEnd': 149114, 'consentEnd': 2183, 'demographicsEnd': 203473, 'introEnd': 29462, 'study0End': 100942, 'studyEnd': 138436}","post",149114,2183,203473,29462,100942,138436,"",4,0,1,3,0,0,3,1.33333333333333,0,0,0,0,0,0,0,0,1000,7800,2300,1900,3500,2900,2100,2300,1200,900,2590,0,0,1,1,1,2,0.833333333333333,53
"26",27,1999,"Somewhat","Moderately","Moderately","Moderately","Slightly","Moderately","Somewhat",0,"Strongly Agree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Strongly Disagree","Somewhat Disagree",0,"Some college","Male",7,1200,9,3500,1,2200,4,400,6,1500,2,1500,10,1200,8,1800,3,300,5,2200,"$40,000-$59,999","Slightly","Not at all","Not at all","Not at all","Not at all","Not at all","Somewhat","Moderate","No","5c054e8a553fb800011917d7","Caucasian","605041dcd26a4feae5afb950","605012aa337705b7329e7998","{'attCheckEnd': 316330, 'consentEnd': 9703, 'demographicsEnd': 368515, 'introEnd': 28815, 'study0End': 103516, 'studyEnd': 296587}","pre",316330,9703,368515,28815,103516,296587,"Personally, I found the images to look quite nice. Most of them provoked a sense of peace whenever I viewed them.",2,3,3,3,1,3,2,2.5,1,0,0,0,0,0,2,0.166666666666667,1200,2200,1200,2200,1800,1500,3500,1500,300,400,1580,1,1,1,2,0,1,1,22
